iter	Passed	Remaining
0	19	3939
1	38	3789
2	57	3750
3	76	3731
4	94	3676
5	111	3601
6	130	3595
7	149	3580
8	168	3566
9	185	3527
10	200	3439
11	215	3370
12	232	3348
13	249	3310
14	266	3286
15	282	3251
16	298	3214
17	314	3184
18	332	3163
19	349	3147
20	367	3134
21	383	3105
22	399	3076
23	417	3061
24	434	3041
25	451	3021
26	467	2996
27	483	2972
28	501	2955
29	518	2935
30	534	2911
31	551	2895
32	567	2874
33	586	2862
34	602	2842
35	619	2821
36	636	2802
37	654	2788
38	671	2771
39	687	2751
40	706	2739
41	724	2724
42	741	2709
43	759	2692
44	776	2673
45	794	2659
46	811	2641
47	828	2624
48	845	2605
49	861	2583
50	880	2572
51	899	2560
52	917	2544
53	934	2525
54	950	2504
55	966	2485
56	984	2469
57	1000	2450
58	1016	2429
59	1030	2404
60	1048	2388
61	1064	2368
62	1082	2353
63	1100	2338
64	1117	2320
65	1133	2300
66	1150	2283
67	1169	2270
68	1186	2251
69	1202	2232
70	1219	2215
71	1236	2197
72	1252	2179
73	1269	2161
74	1285	2142
75	1302	2125
76	1321	2110
77	1338	2093
78	1354	2074
79	1370	2055
80	1386	2036
81	1403	2020
82	1420	2003
83	1438	1986
84	1453	1966
85	1470	1948
86	1486	1931
87	1503	1913
88	1519	1895
89	1537	1879
90	1553	1860
91	1570	1843
92	1588	1827
93	1605	1810
94	1623	1794
95	1643	1780
96	1658	1761
97	1675	1743
98	1693	1728
99	1709	1709
100	1726	1691
101	1746	1677
102	1763	1660
103	1780	1643
104	1796	1625
105	1814	1608
106	1831	1591
107	1849	1575
108	1866	1558
109	1883	1541
110	1902	1525
111	1920	1508
112	1937	1491
113	1955	1475
114	1971	1457
115	1987	1439
116	2006	1423
117	2023	1405
118	2039	1388
119	2057	1371
120	2075	1355
121	2091	1337
122	2108	1319
123	2125	1302
124	2142	1285
125	2160	1268
126	2177	1251
127	2193	1233
128	2210	1216
129	2227	1199
130	2244	1181
131	2262	1165
132	2279	1148
133	2295	1130
134	2311	1113
135	2327	1095
136	2344	1077
137	2363	1061
138	2380	1044
139	2397	1027
140	2412	1009
141	2428	991
142	2444	974
143	2460	956
144	2478	940
145	2495	923
146	2512	905
147	2529	888
148	2547	872
149	2566	855
150	2584	838
151	2601	821
152	2618	804
153	2634	787
154	2651	769
155	2668	752
156	2684	735
157	2701	718
158	2717	700
159	2733	683
160	2750	666
161	2768	649
162	2788	632
163	2804	615
164	2821	598
165	2839	581
166	2856	564
167	2875	547
168	2893	530
169	2911	513
170	2927	496
171	2945	479
172	2961	462
173	2977	444
174	2995	427
175	3013	410
176	3029	393
177	3047	376
178	3064	359
179	3082	342
180	3099	325
181	3116	308
182	3134	291
183	3149	273
184	3167	256
185	3183	239
186	3201	222
187	3217	205
188	3235	188
189	3250	171
190	3265	153
191	3281	136
192	3297	119
193	3316	102
194	3334	85
195	3352	68
196	3370	51
197	3386	34
198	3404	17
199	3420	0
