Partner_Encoded,Dependents_Encoded,PhoneService_Encoded,PaperlessBilling_Encoded,TenureCategory_Encoded,ServiceAdoptionLevel_Encoded,OnlineSecurity_Binary,OnlineBackup_Binary,DeviceProtection_Binary,TechSupport_Binary,StreamingTV_Binary,StreamingMovies_Binary,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_StandardScaled,MonthlyCharges_StandardScaled,TotalCharges_StandardScaled,ServiceAdoptionScore_StandardScaled,AvgChargesPerService_StandardScaled,TotalServices_StandardScaled,PaymentReliabilityScore_StandardScaled,ContractReliabilityScore_StandardScaled,OverallReliabilityScore_StandardScaled,Churn
1,1,1,0,1,0,1,0,0,0,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-0.7073594915983407,0.3436033691154218,-0.49773564378084617,-0.5617762440782015,1.7050912722020273,-0.49566128659004244,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
1,1,0,0,1,1,1,1,0,1,0,0,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,-0.7888002190384014,-0.8046983579993692,-0.7453274977070509,0.5207381436215996,-1.2585594708975982,-0.06323933174628321,-0.11407934444186284,1.5707489619921844,0.8557658231737686,0
1,0,1,1,1,2,0,1,1,0,1,1,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,-0.2594354906780068,0.29042586511010604,-0.16501754570806054,1.0619953374715,-0.5944127033394072,0.8016045779412352,1.0320844542800183,1.5707489619921844,1.563012794848593,0
1,1,1,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,-1.2774445836787656,-0.6717545979860794,-0.986125134686599,-1.103033437928102,0.6143899907518606,-0.9280832414338016,-1.260243143163744,-0.828206896039032,-1.2659750918507047,0
0,1,1,1,2,2,0,1,1,1,1,1,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,1.369379058123207,0.4898415051300408,1.2866507296996086,1.6032525313214008,-0.7507233965408643,1.2340265327849944,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,0,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,-1.2774445836787656,-1.4943441130683104,-0.9970444119222968,-1.103033437928102,-0.7611441094209613,-1.360505196277561,1.0320844542800183,-0.828206896039032,0.14851885149894414,0
1,0,1,1,2,1,0,0,0,1,1,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,1.3286586944031769,-0.16490651293541178,0.6743329569551688,-0.02051905022830094,-0.18869961520762563,-0.06323933174628321,1.0320844542800183,1.5707489619921844,1.563012794848593,0
0,0,1,0,2,2,0,0,1,1,1,1,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,1.125056875803025,0.5247392421335293,1.1326558319573745,1.0619953374715,-0.7142509014605244,1.2340265327849944,1.0320844542800183,0.3712710329765762,0.8557658231737686,0
1,1,1,1,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-1.1145631287986442,-0.5105602889699654,-0.9031827459871578,-0.5617762440782015,-0.08032420125461524,-0.49566128659004244,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
0,0,1,0,0,0,1,0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-1.2367242199587352,-0.4590445819648154,-0.9514922755753962,-0.5617762440782015,0.027356498506388813,-0.49566128659004244,-0.11407934444186284,-0.828206896039032,-0.5587281201758802,0
